trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",30,0,-100.21262913067648,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",25,0,-40.205120276144996,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",20,0,-60.2642295865839,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",35,0,-165.40955908981692,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-61.45089314894558,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",30,0,-143.69741310732746,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",25,8,-183.3299788276891,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 3}",1
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",25,0,-91.55066336778704,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",30,1,-78.2665062607995,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 1}",1
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",25,0,-55.41197097483531,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,0,-116.24755594113056,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",30,0,-61.84395988127825,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",35,0,-45.47758026433184,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",30,0,-191.95936486621414,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",30,10,-88.64259728753217,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",1
144,False,"{'a': 0.002, 'e': 0.751262615946886}",30,0,-99.70952776027563,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",20,0,-125.2717834645946,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",20,0,-136.51433086739692,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",25,0,-54.88907313221087,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",25,0,-138.4003019677314,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",30,0,-89.53982953473728,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-81.45342161663407,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",30,0,-41.96448265600039,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",20,0,-81.68674110878536,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",25,0,-53.237164188758776,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",30,11,-12.65100192104114,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,0,-100.01725664679537,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",30,0,-145.52779879417218,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,9,-71.4832816213989,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 0}",1
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-55.29479842008406,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,0,-87.38704895574575,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,0,-35.832602747634056,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",35,9,-19.46084727802653,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 0}",1
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,0,-44.09232258230652,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",20,0,-4.576171260299359,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,4,-54.48953698241447,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,0,-58.75271292968203,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",25,0,-148.82307229800602,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",20,0,-98.88340154563444,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",25,9,-14.43108745077195,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",20,0,-199.28659020257788,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",30,0,-47.2310282867165,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",20,0,-66.27124977459,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",20,0,-40.14546297250081,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",25,0,-32.38100813727332,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",20,11,16.304002030066133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",20,0,-71.29718171590785,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,0,-127.55766415253903,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",25,0,-50.51393309591002,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
178,False,"{'a': 0.002, 'e': 0.701874967355394}",20,0,-42.10631946349354,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",25,0,-58.46397254707981,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",30,8,7.280913851103657,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.002, 'e': 0.697676326071031}",25,0,-63.28540209447972,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
182,False,"{'a': 0.002, 'e': 0.696282367841771}",25,0,-81.89601555113401,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
